subject	article	doi	interaction:001:predatorprey	interaction:002:symbiosis	interaction:003:mutualism	interaction:004:commensalism	interaction:005:parasitism	interaction:006:affecting	interaction:007:competition	interaction:008:amensalism	interaction:009:antagonism	interaction:010:facilitation	interaction:011:exclusion	interaction:012:invasion	interaction:013:pollination	interaction:014:eating	interaction:015:interaction	interaction:016:herbivory	interaction:017:detritivory	interaction:018:scavenging	interaction:019:poisoning	interaction:020:limiting	interaction:021:mating	interaction:022:hybridising	interaction:023:host	interaction:024:relationship	interaction:025:killing	interaction:026:attacking	interaction:027:impairing
Biochemistry	PLoS_One-5-11-2989924	10.1371/journal.pone.0014084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_ONE-3-12-2605551	19116658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One-5-7-2904697	10.1371/journal.pone.0011603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_ONE-3-1-2170473	10.1371/journal.pone.0001406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One-5-11-2970562	10.1371/journal.pone.0013719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_ONE-3-7-2442193	10.1371/journal.pone.0002686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_ONE-3-8-2481398	10.1371/journal.pone.0002865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2010_Feb_18_5(2)_e8943	10.1371/journal.pone.0008943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2010_Aug_9_5(8)_e12032	10.1371/journal.pone.0012032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_May_13_6(5)_e17308	10.1371/journal.pone.0017308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Mar_28_6(3)_e17946	10.1371/journal.pone.0017946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_ONE_2008_Mar_12_3(3)_e1782	10.1371/journal.pone.0001782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
